method,model_path,split,size_mb,total_params,zero_params,zero_param_percent,map50_95,map50,drop_map50_95,drop_map50,preprocess_ms,inference_ms,postprocess_ms,latency_ms,fps,target_layers,amount,note
FP32 baseline,/home/afm176/yolo_project/runs/baseline/baseline_yolo26n_mio_11000_e100_img640_b16_s42_20260701_001856/weights/best.pt,val,5.137639,2376981,3,0.000126,0.506632,0.690055,0.000000,0.000000,0.270307,1.013566,0.050546,1.334418,749.390305,,,original trained model
L1 unstructured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_single_sweep/layer_2_amt_0p05/yolo26n_l1_layer_2_amt_0p05.pt,val,4.726157,2376981,324,0.013631,0.506327,0.689906,0.000305,0.000149,0.260022,0.971433,0.072622,1.304076,766.826449,2,0.05,mask-based unstructured pruning; sparse weights with unchanged architecture shape
