layer_id,type,noise_std_ratio,map50_95,map50,drop_map50_95,drop_map50
baseline,none,0.4,0.506632,0.690055,0.000000,0.000000
0,Conv,0.4,0.445993,0.619330,0.060639,0.070725
1,Conv,0.4,0.491934,0.679941,0.014698,0.010114
2,C3k2,0.4,0.504729,0.688677,0.001903,0.001378
3,Conv,0.4,0.488790,0.670050,0.017842,0.020005
4,C3k2,0.4,0.505785,0.693881,0.000847,-0.003826
5,Conv,0.4,0.507038,0.685898,-0.000406,0.004157
6,C3k2,0.4,0.506389,0.686572,0.000243,0.003483
7,Conv,0.4,0.509311,0.692139,-0.002678,-0.002084
8,C3k2,0.4,0.504099,0.682264,0.002533,0.007791
9,SPPF,0.4,0.507295,0.688161,-0.000663,0.001894
10,C2PSA,0.4,0.500609,0.680736,0.006023,0.009319
11,Upsample,0.4,0.504172,0.686261,0.002461,0.003795
12,Concat,0.4,0.500743,0.685538,0.005889,0.004517
13,C3k2,0.4,0.502555,0.685580,0.004078,0.004475
14,Upsample,0.4,0.503576,0.686787,0.003057,0.003268
15,Concat,0.4,0.505488,0.689017,0.001144,0.001038
16,C3k2,0.4,0.497983,0.678093,0.008650,0.011962
17,Conv,0.4,0.504769,0.688162,0.001863,0.001893
18,Concat,0.4,0.504520,0.687561,0.002112,0.002494
19,C3k2,0.4,0.500086,0.681295,0.006546,0.008760
20,Conv,0.4,0.506561,0.690629,0.000071,-0.000573
21,Concat,0.4,0.507583,0.690371,-0.000951,-0.000316
22,C3k2,0.4,0.500005,0.685868,0.006627,0.004187
