layer_id,type,noise_std_ratio,map50_95,map50,drop_map50_95,drop_map50
baseline,none,0.25,0.506632,0.690055,0.000000,0.000000
0,Conv,0.25,0.485990,0.668432,0.020642,0.021623
1,Conv,0.25,0.504745,0.690539,0.001887,-0.000484
2,C3k2,0.25,0.506151,0.689729,0.000481,0.000326
3,Conv,0.25,0.499370,0.684134,0.007263,0.005921
4,C3k2,0.25,0.506378,0.692039,0.000255,-0.001984
5,Conv,0.25,0.507573,0.688940,-0.000941,0.001115
6,C3k2,0.25,0.505799,0.688466,0.000834,0.001589
7,Conv,0.25,0.508624,0.692018,-0.001992,-0.001963
8,C3k2,0.25,0.505045,0.685987,0.001587,0.004068
9,SPPF,0.25,0.504830,0.687282,0.001802,0.002773
10,C2PSA,0.25,0.504244,0.686115,0.002388,0.003940
11,Upsample,0.25,0.506244,0.688661,0.000388,0.001394
12,Concat,0.25,0.504749,0.687829,0.001883,0.002226
13,C3k2,0.25,0.504793,0.688030,0.001840,0.002026
14,Upsample,0.25,0.505995,0.688740,0.000637,0.001316
15,Concat,0.25,0.506995,0.691029,-0.000363,-0.000973
16,C3k2,0.25,0.503118,0.685753,0.003515,0.004302
17,Conv,0.25,0.506041,0.689384,0.000591,0.000671
18,Concat,0.25,0.505799,0.689109,0.000833,0.000946
19,C3k2,0.25,0.505906,0.691393,0.000726,-0.001338
20,Conv,0.25,0.506126,0.689566,0.000506,0.000489
21,Concat,0.25,0.506629,0.689729,0.000004,0.000326
22,C3k2,0.25,0.504064,0.688809,0.002568,0.001247
