layer_id,type,noise_std_ratio,map50_95,map50,drop_map50_95,drop_map50
baseline,none,0.2,0.506632,0.690055,0.000000,0.000000
0,Conv,0.2,0.496122,0.676808,0.010510,0.013247
1,Conv,0.2,0.505785,0.689870,0.000847,0.000185
2,C3k2,0.2,0.506253,0.689522,0.000380,0.000533
3,Conv,0.2,0.501778,0.684749,0.004855,0.005306
4,C3k2,0.2,0.505903,0.691229,0.000729,-0.001174
5,Conv,0.2,0.506909,0.688864,-0.000276,0.001192
6,C3k2,0.2,0.506121,0.688941,0.000511,0.001114
7,Conv,0.2,0.508714,0.692684,-0.002081,-0.002629
8,C3k2,0.2,0.506182,0.687708,0.000451,0.002347
9,SPPF,0.2,0.505327,0.689727,0.001306,0.000329
10,C2PSA,0.2,0.504509,0.686550,0.002123,0.003505
11,Upsample,0.2,0.506734,0.690063,-0.000102,-0.000008
12,Concat,0.2,0.505395,0.688607,0.001237,0.001448
13,C3k2,0.2,0.504993,0.688512,0.001639,0.001543
14,Upsample,0.2,0.505767,0.688767,0.000865,0.001288
15,Concat,0.2,0.507135,0.691064,-0.000502,-0.001009
16,C3k2,0.2,0.504615,0.687883,0.002017,0.002172
17,Conv,0.2,0.506483,0.689709,0.000150,0.000346
18,Concat,0.2,0.506785,0.689999,-0.000153,0.000056
19,C3k2,0.2,0.505244,0.690621,0.001389,-0.000566
20,Conv,0.2,0.506079,0.689452,0.000553,0.000603
21,Concat,0.2,0.506598,0.689889,0.000034,0.000166
22,C3k2,0.2,0.505114,0.689531,0.001519,0.000524
