layer_id,type,noise_std_ratio,map50_95,map50,drop_map50_95,drop_map50
baseline,none,0.9,0.506632,0.690055,0.000000,0.000000
0,Conv,0.9,0.173345,0.252113,0.333287,0.437942
1,Conv,0.9,0.351125,0.501974,0.155508,0.188081
2,C3k2,0.9,0.485938,0.666997,0.020695,0.023058
3,Conv,0.9,0.378836,0.538149,0.127796,0.151906
4,C3k2,0.9,0.491431,0.678330,0.015201,0.011725
5,Conv,0.9,0.478430,0.651572,0.028202,0.038483
6,C3k2,0.9,0.491667,0.666398,0.014966,0.023657
7,Conv,0.9,0.502799,0.682519,0.003833,0.007536
8,C3k2,0.9,0.475557,0.648117,0.031075,0.041938
9,SPPF,0.9,0.482488,0.659502,0.024145,0.030553
10,C2PSA,0.9,0.485437,0.661804,0.021196,0.028251
11,Upsample,0.9,0.494923,0.676189,0.011710,0.013866
12,Concat,0.9,0.484444,0.664288,0.022188,0.025767
13,C3k2,0.9,0.480858,0.665712,0.025775,0.024343
14,Upsample,0.9,0.494689,0.680882,0.011943,0.009174
15,Concat,0.9,0.492926,0.677819,0.013706,0.012236
16,C3k2,0.9,0.461033,0.622022,0.045599,0.068033
17,Conv,0.9,0.501050,0.685356,0.005582,0.004700
18,Concat,0.9,0.498447,0.683703,0.008185,0.006353
19,C3k2,0.9,0.459125,0.638275,0.047507,0.051780
20,Conv,0.9,0.505144,0.689513,0.001488,0.000542
21,Concat,0.9,0.507223,0.690996,-0.000591,-0.000941
22,C3k2,0.9,0.457752,0.647506,0.048881,0.042549
