layer_id,type,noise_std_ratio,map50_95,map50,drop_map50_95,drop_map50
baseline,none,1.6,0.506632,0.690055,0.000000,0.000000
0,Conv,1.6,0.011231,0.015276,0.495402,0.674779
1,Conv,1.6,0.075012,0.106964,0.431620,0.583092
2,C3k2,1.6,0.352978,0.499061,0.153655,0.190994
3,Conv,1.6,0.115964,0.169383,0.390668,0.520672
4,C3k2,1.6,0.437715,0.620264,0.068917,0.069791
5,Conv,1.6,0.285636,0.399377,0.220997,0.290678
6,C3k2,1.6,0.451011,0.613271,0.055621,0.076784
7,Conv,1.6,0.439544,0.599419,0.067089,0.090636
8,C3k2,1.6,0.362812,0.516717,0.143820,0.173338
9,SPPF,1.6,0.378154,0.526098,0.128478,0.163957
10,C2PSA,1.6,0.438843,0.616681,0.067789,0.073374
11,Upsample,1.6,0.477051,0.656147,0.029581,0.033908
12,Concat,1.6,0.440146,0.616249,0.066487,0.073806
13,C3k2,1.6,0.427531,0.608165,0.079102,0.081890
14,Upsample,1.6,0.473067,0.662790,0.033566,0.027266
15,Concat,1.6,0.433899,0.622208,0.072733,0.067847
16,C3k2,1.6,0.395873,0.526823,0.110759,0.163232
17,Conv,1.6,0.484787,0.677273,0.021846,0.012782
18,Concat,1.6,0.472836,0.663522,0.033797,0.026534
19,C3k2,1.6,0.338350,0.490618,0.168283,0.199437
20,Conv,1.6,0.501571,0.687245,0.005061,0.002810
21,Concat,1.6,0.496056,0.683915,0.010577,0.006141
22,C3k2,1.6,0.379897,0.556294,0.126736,0.133761
