layer_id,type,noise_std_ratio,map50_95,map50,drop_map50_95,drop_map50
baseline,none,0.1,0.506632,0.690055,0.000000,0.000000
0,Conv,0.1,0.505608,0.687047,0.001024,0.003008
1,Conv,0.1,0.507283,0.692028,-0.000650,-0.001972
2,C3k2,0.1,0.506247,0.689334,0.000385,0.000721
3,Conv,0.1,0.504696,0.686606,0.001937,0.003449
4,C3k2,0.1,0.507451,0.691456,-0.000819,-0.001401
5,Conv,0.1,0.507184,0.689901,-0.000552,0.000154
6,C3k2,0.1,0.506315,0.689946,0.000317,0.000109
7,Conv,0.1,0.507463,0.690829,-0.000831,-0.000774
8,C3k2,0.1,0.506775,0.687859,-0.000143,0.002196
9,SPPF,0.1,0.507323,0.691302,-0.000691,-0.001246
10,C2PSA,0.1,0.506526,0.688271,0.000107,0.001784
11,Upsample,0.1,0.507680,0.689494,-0.001048,0.000561
12,Concat,0.1,0.505455,0.689443,0.001177,0.000612
13,C3k2,0.1,0.506382,0.689530,0.000251,0.000525
14,Upsample,0.1,0.506195,0.689482,0.000437,0.000574
15,Concat,0.1,0.506400,0.690609,0.000233,-0.000554
16,C3k2,0.1,0.506310,0.690292,0.000322,-0.000236
17,Conv,0.1,0.507197,0.690339,-0.000564,-0.000284
18,Concat,0.1,0.508089,0.690268,-0.001456,-0.000213
19,C3k2,0.1,0.506211,0.691765,0.000422,-0.001710
20,Conv,0.1,0.505966,0.689046,0.000666,0.001010
21,Concat,0.1,0.506870,0.689803,-0.000238,0.000253
22,C3k2,0.1,0.506177,0.689348,0.000455,0.000707
