stage,groups_added,group_count,epochs,cumulative_epochs,parameters,parameter_reduction_percent,map50,map50_95
1,DG026+DG040+DG041+DG004+DG009+DG034+DG019+DG039+DG014+DG033+DG007+DG018+DG008+DG035+DG012+DG013+DG025+DG038+DG022+DG042,20,6,6,2193966,12.483605380307306,0.3087489971601279,0.169513943860761
2,DG015+DG036+DG005+DG003+DG006+DG010,6,6,12,1929750,23.02307213632665,0.2602931247326749,0.13966105209473967
3,DG023+CDG004+DG032+CDG005+CDG009,5,8,20,1564302,37.60064142453688,0.24008263791668727,0.13805887610297868
4,CDG006+DG024+DG029+DG011+DG021+CDG003+DG031,7,10,30,1360062,45.747690392992205,0.22091375209499375,0.11754729193387844
5,DG017+DG002+DG037+CDG007+CDG008+DG030+DG028+DG016,8,40,70,1082022,56.83859078071897,0.28890847127167807,0.1408478499082047
