stage,groups_added,group_count,epochs,cumulative_epochs,parameters,parameter_reduction_percent,map50,map50_95
1,DG026+DG025+DG040+DG039+CDG009+DG034+DG004,7,6,6,2205636,11.990710814240224,0.42761662214768625,0.2533810313565918
2,DG038+DG041+CDG005+DG042+DG036,5,6,12,1844628,26.395652278005223,0.42360606726053485,0.25327735871027
3,DG023+DG003+DG037+DG033+DG024+DG035,6,8,20,1573572,37.211328976034864,0.4111206098573348,0.24863565690591644
4,DG031+CDG004+DG007+DG019+DG018+DG009+DG005+DG010,8,10,30,1380420,44.918480212597856,0.39728242996442403,0.23856014749260998
5,DG028+CDG006+DG030+DG016+DG008+DG015+DG006+DG029+DG021+CDG003+DG017+DG032+DG014+CDG008,14,40,70,1094796,56.315449256625726,0.38972752099358027,0.2301072532759561
