domain,group_id,group_kind,eligible_for_cumulative_raw,selection_unit,score_basis,root_channels_before,selectable_units_before,selected_unit_count,prune_first_mean_score,prune_first_max_score,all_unit_score_mean,all_unit_score_std,domain_rank_prune_first_ascending
NGN2,DG001,GENERIC,False,output_channel,DepGraph_GroupMagnitudeImportance_p1_mean_mean,16,16,6,0.8328902721405029,0.8667576909065247,1.0,0.16471140086650848,1
NGN2,DG016,GENERIC,True,output_channel,DepGraph_GroupMagnitudeImportance_p1_mean_mean,128,128,48,0.8739903569221497,0.933588981628418,1.0,0.13470669090747833,2
NGN2,DG002,GENERIC,True,output_channel,DepGraph_GroupMagnitudeImportance_p1_mean_mean,32,32,12,0.8950064182281494,1.0137706995010376,1.0,0.09466736763715744,3
NGN2,DG021,GENERIC,True,output_channel,DepGraph_GroupMagnitudeImportance_p1_mean_mean,64,64,24,0.8967061638832092,0.9651563763618469,1.0,0.09776357561349869,4
NGN2,DG023,GENERIC,True,output_channel,DepGraph_GroupMagnitudeImportance_p1_mean_mean,128,128,48,0.9033963084220886,0.9629745483398438,1.0,0.0971311405301094,5
NGN2,DG022,GENERIC,True,output_channel,DepGraph_GroupMagnitudeImportance_p1_mean_mean,8,8,3,0.9034347534179688,0.9848350882530212,0.9999999403953552,0.09328138828277588,6
NGN2,DG026,GENERIC,True,output_channel,DepGraph_GroupMagnitudeImportance_p1_mean_mean,256,256,96,0.9049381613731384,0.9637221097946167,1.0000001192092896,0.10143256187438965,7
NGN2,DG010,GENERIC,True,output_channel,DepGraph_GroupMagnitudeImportance_p1_mean_mean,64,64,24,0.9059497714042664,0.9864197969436646,1.0,0.09518525004386902,8
NGN2,DG018,GENERIC,True,output_channel,DepGraph_GroupMagnitudeImportance_p1_mean_mean,32,32,12,0.9071254134178162,0.954581618309021,1.0,0.12360750883817673,9
NGN2,DG024,GENERIC,True,output_channel,DepGraph_GroupMagnitudeImportance_p1_mean_mean,256,256,96,0.9094429016113281,0.966475784778595,0.9999999403953552,0.09284062683582306,10
NGN2,DG015,GENERIC,True,output_channel,DepGraph_GroupMagnitudeImportance_p1_mean_mean,64,64,24,0.9264280200004578,0.9882609248161316,1.0,0.07099100947380066,11
NGN2,DG025,GENERIC,True,output_channel,DepGraph_GroupMagnitudeImportance_p1_mean_mean,64,64,24,0.9264764785766602,0.9778895974159241,1.0,0.0699213296175003,12
NGN2,DG019,GENERIC,True,output_channel,DepGraph_GroupMagnitudeImportance_p1_mean_mean,32,32,12,0.926655113697052,0.9660608768463135,1.0,0.0683627501130104,13
NGN2,DG033,GENERIC,True,output_channel,DepGraph_GroupMagnitudeImportance_p1_mean_mean,32,32,12,0.9317652583122253,0.9758070707321167,1.0,0.07145573943853378,14
NGN2,DG004,GENERIC,True,output_channel,DepGraph_GroupMagnitudeImportance_p1_mean_mean,256,256,96,0.9332849383354187,0.9799013137817383,0.9999998807907104,0.06986160576343536,15
NGN2,CDG008,CUSTOM,True,hidden_channel,coupled_logical_l1,64,64,24,0.9351919293403625,0.9686586260795593,1.0,0.0652606338262558,16
NGN2,DG012,GENERIC,True,output_channel,DepGraph_GroupMagnitudeImportance_p1_mean_mean,16,16,6,0.9353575706481934,0.9751762747764587,1.0000001192092896,0.07129109650850296,17
NGN2,DG003,GENERIC,True,output_channel,DepGraph_GroupMagnitudeImportance_p1_mean_mean,256,256,96,0.9362003207206726,0.975864052772522,1.0,0.06450657546520233,18
NGN2,DG014,GENERIC,True,output_channel,DepGraph_GroupMagnitudeImportance_p1_mean_mean,16,16,6,0.9362894892692566,0.9524726867675781,1.0000001192092896,0.06275105476379395,19
NGN2,DG005,GENERIC,True,output_channel,DepGraph_GroupMagnitudeImportance_p1_mean_mean,128,128,48,0.9377745985984802,0.9902084469795227,0.9999999403953552,0.06776271015405655,20
NGN2,DG041,GENERIC,True,output_channel,DepGraph_GroupMagnitudeImportance_p1_mean_mean,64,64,24,0.9378377795219421,0.9948133826255798,1.0000001192092896,0.06351172924041748,21
NGN2,DG037,GENERIC,True,output_channel,DepGraph_GroupMagnitudeImportance_p1_mean_mean,256,256,96,0.9444294571876526,0.9931623339653015,1.0,0.06459546834230423,22
NGN2,CDG001,CUSTOM,True,hidden_channel,coupled_logical_l1,16,16,6,0.9455606937408447,0.9960328340530396,1.0000001192092896,0.05639021843671799,23
NGN2,DG028,GENERIC,True,output_channel,DepGraph_GroupMagnitudeImportance_p1_mean_mean,128,128,48,0.9478595852851868,0.9898924827575684,1.0,0.05292486399412155,24
NGN2,CDG006,CUSTOM,True,hidden_channel,coupled_logical_l1,64,64,24,0.9488566517829895,0.992519199848175,0.9999999403953552,0.05406848341226578,25
NGN2,CDG007,CUSTOM,True,hidden_channel,coupled_logical_l1,32,32,12,0.9491849541664124,0.9882950186729431,1.0,0.04779869318008423,26
NGN2,CDG002,CUSTOM,True,hidden_channel,coupled_logical_l1,32,32,12,0.9505525231361389,0.9781425595283508,1.0,0.059801436960697174,27
NGN2,DG013,GENERIC,True,output_channel,DepGraph_GroupMagnitudeImportance_p1_mean_mean,16,16,6,0.950800895690918,0.9702214002609253,1.0,0.051583196967840195,28
NGN2,CDG004,CUSTOM,True,hidden_channel,coupled_logical_l1,128,128,48,0.9517800807952881,0.9765711426734924,1.0,0.05024603009223938,29
NGN2,DG031,GENERIC,True,output_channel,DepGraph_GroupMagnitudeImportance_p1_mean_mean,128,128,48,0.9522647857666016,0.9874902963638306,1.0,0.049683988094329834,30
NGN2,DG009,GENERIC,True,output_channel,DepGraph_GroupMagnitudeImportance_p1_mean_mean,32,32,12,0.9533772468566895,0.9869647026062012,1.0,0.04652892425656319,31
NGN2,DG042,GENERIC,True,output_channel,DepGraph_GroupMagnitudeImportance_p1_mean_mean,128,128,48,0.9536135792732239,0.9933247566223145,1.0,0.05873803421854973,32
NGN2,CDG003,CUSTOM,True,hidden_channel,coupled_logical_l1,64,64,24,0.9541029334068298,0.9785628914833069,0.9999999403953552,0.05255013331770897,33
NGN2,DG040,GENERIC,True,output_channel,DepGraph_GroupMagnitudeImportance_p1_mean_mean,64,64,24,0.9551147818565369,0.9970155358314514,1.0,0.04339747503399849,34
NGN2,DG034,GENERIC,True,output_channel,DepGraph_GroupMagnitudeImportance_p1_mean_mean,32,32,12,0.9559587836265564,0.9890652298927307,1.0,0.0424557588994503,35
NGN2,DG008,GENERIC,True,output_channel,DepGraph_GroupMagnitudeImportance_p1_mean_mean,32,32,12,0.9562134742736816,0.9801958799362183,1.0,0.043281227350234985,36
NGN2,DG029,GENERIC,True,output_channel,DepGraph_GroupMagnitudeImportance_p1_mean_mean,16,16,6,0.9564869403839111,0.9838225245475769,1.0,0.0432046540081501,37
NGN2,DG017,GENERIC,True,output_channel,DepGraph_GroupMagnitudeImportance_p1_mean_mean,32,32,12,0.9566170573234558,0.9832293391227722,1.0,0.040255140513181686,38
