stage,groups_added,group_count,epochs,cumulative_epochs,parameters,parameter_reduction_percent,map50,map50_95
1,DG016+DG021+DG010+DG023+DG002+DG018+DG024+DG026+DG022+DG015+DG019,11,6,6,2204718,12.02734085087026,0.3816155268221179,0.22411459850265167
2,DG025+DG012+CDG008+DG033+DG005+DG014+DG003+DG004+DG041+CDG007+CDG006+DG037+CDG002,13,6,12,1836030,26.738729679906147,0.35925397004540743,0.20914828548328696
3,DG028+CDG001+DG013+DG009+CDG004+DG031+DG040,7,8,20,1553994,37.99253034547152,0.3401523665035504,0.20144352443409033
4,CDG003+DG034+DG042+DG007+DG008+DG017+DG036+DG039+DG027,9,10,30,1375626,45.10977040388805,0.33761941178398763,0.19672526157337136
5,DG029+DG038+DG011+DG030+CDG005+DG035+CDG009,7,40,70,1082754,56.79594914889032,0.3455057572378785,0.20341184878908306
